Questions,Category
"Hi", greeting
"Hello",greeting
"Hi there",greeting
"Good morning",greeting
"Good evening",greeting
"Hey",greeting
"Whatsup", greeting
"Howdy",greeting
"What's up?",greeting
"How's it going?",greeting
"Hi",greeting
"Hello there!",greeting
"Goodbye",farewell
"Bye",farewell
"See you later",farewell
"Take care",farewell
"Catch you later",farewell
"Talk to you soon",farewell
"Have a great day!",farewell
"Good night",farewell
"See you around",farewell
"Later!",farewell
"what is my name?", personal_interaction
"what is my name?", personal_interaction
"what is my name?", personal_interaction
"what is my name?", personal_interaction
"what is my name?", personal_interaction
"what is my name?", personal_interaction
"what is my name?", personal_interaction
"what is my name?", personal_interaction
"How are you?",personal_interaction
"What's your name?",personal_interaction
"Thank you",personal_interaction
"You're welcome",personal_interaction
"Nice to meet you",personal_interaction
"Good to see you!",personal_interaction
"Take care",personal_interaction
"How's your day going?",personal_interaction
"What's your favorite food?",personal_interaction
"Do you have a hobby?",personal_interaction
"Tell me a joke",casual_conversation
"Do you like music?",casual_conversation
"What’s your favorite color?",casual_conversation
"Do you watch TV shows?",casual_conversation
"Tell me something interesting",casual_conversation
"Do you like sports?",casual_conversation
"What's your favorite movie?",casual_conversation
"Do you know any fun facts?",casual_conversation
"What's the best vacation spot?",casual_conversation
"Do you enjoy traveling?",casual_conversation
"What time is it?",contextual_generic
"What day is it today?",contextual_generic
"What day is it today?",contextual_generic
"What day is it today?",contextual_generic
"What day is it today?",contextual_generic
"What day is it today?",contextual_generic
"What's the date?",contextual_generic
"How’s the weather?",contextual_generic
"What's happening?",contextual_generic
"What's your favorite movie?",casual_conversation
"Do you know any fun facts?",casual_conversation
"What's the best vacation spot?",casual_conversation
"Do you enjoy traveling?",casual_conversation
"What's up?",contextual_generic
"You're stupid",insults
"Shut up",insults
"You're useless",insults
"I hate you",insults
"You're dumb",insults
"Go away",insults
"You're an idiot",insults
"You're annoying",insults
"You don't know anything",insults
"You're pathetic",insults
"Hello!",greeting
"Good morning!",greeting
"Hi there, how are you?",greeting
"Hey, nice to see you!",greeting
"Goodbye, take care!",farewell
"See you later!",farewell
"Bye, have a nice day!",farewell
"Catch you next time.",farewell
"How have you been?",personal_interaction
"How's your family doing?",personal_interaction
"Tell me more about yourself.",personal_interaction
"Do you have any hobbies?",personal_interaction
"Did you watch any good movies recently?",casual_conversation
"What do you think of the weather today?",casual_conversation
"Have you read any good books lately?",casual_conversation
"What's your favorite vacation spot?",casual_conversation
"That's fascinating!",contextual_generic
"I can relate to that.",contextual_generic
"Interesting, tell me more.",contextual_generic
"Really? That's surprising.",contextual_generic
"You're so annoying!",insults
"You're useless.",insults
"I can't believe you'd say that.",insults
"You're such an idiot.",insults
"Go away!",insults
"Hi!",greeting
"Hey, what's up?",greeting
"Good afternoon!",greeting
"Hi there! Long time no see.",greeting
"Take care!",farewell
"See you around!",farewell
"Bye! Talk to you soon.",farewell
"Until next time, goodbye!",farewell
"How's your week going so far?",personal_interaction
"Have you been up to anything exciting lately?",personal_interaction
"Are you enjoying your work?",personal_interaction
"What are you passionate about?",personal_interaction
"Do you like traveling?",casual_conversation
"What's your favorite food?",casual_conversation
"Do you watch any sports?",casual_conversation
"What kind of music do you like?",casual_conversation
"That's amazing, I didn't know that!",contextual_generic
"I completely understand.",contextual_generic
"Wow, really? That's incredible.",contextual_generic
"Absolutely, I agree with you.",contextual_generic
"You're an idiot.",insults
"Shut the hell up!",insults
"You're a complete moron.",insults
"Go f**k yourself.",insults
"You're a dumbass.",insults
"Nobody cares about what you think.",insults
"You're such a waste of space.",insults
"Why don't you just shut up?",insults
"You're pathetic.",insults
"You're full of sh*t.",insults
"Hello there!",greeting
"Hey, how's it going?",greeting
"Good evening!",greeting
"Nice to meet you!",greeting
"Goodbye, have a wonderful day!",farewell
"See you tomorrow!",farewell
"Later!",farewell
"It was nice talking to you!",farewell
"How's your day been?",personal_interaction
"How are things going at home?",personal_interaction
"What are your plans for the weekend?",personal_interaction
"Are you feeling okay today?",personal_interaction
"Did you see that recent TV show?",casual_conversation
"What's your favorite kind of movie?",casual_conversation
"Have you tried the new restaurant downtown?",casual_conversation
"Isn't this weather crazy?",casual_conversation
"That's quite interesting!",contextual_generic
"I never thought of it that way.",contextual_generic
"You're absolutely right.",contextual_generic
"I hadn't considered that before.",contextual_generic
"You're an a**hole.",insults
"Nobody likes you.",insults
"You talk too much.",insults
"Get lost, loser.",insults
"You're such a b**ch.",insults
"Why are you always so f**king annoying?",insults
"Can't you just shut your mouth?",insults
"You're pathetic and nobody cares.",insults
"F**k off!",insults
"You're so full of crap.",insults
"Howdy!",greeting
"Hi, nice to meet you!",greeting
"Hey there!",greeting
"Good day!",greeting
"Hi, how's everything?",greeting
"See you soon!",farewell
"Catch you later!",farewell
"Have a good one!",farewell
"Until we meet again!",farewell
"It’s been great, take care!",farewell
"How have things been for you lately?",personal_interaction
"What's new in your life?",personal_interaction
"Do you enjoy what you do?",personal_interaction
"Are you happy with where you live?",personal_interaction
"Have you been working on any projects recently?",personal_interaction
"Did you catch the game last night?",casual_conversation
"Have you heard about the new trend on social media?",casual_conversation
"What's your favorite type of cuisine?",casual_conversation
"What kind of hobbies do you have?",casual_conversation
"Have you been to any interesting places lately?",casual_conversation
"That’s quite insightful.",contextual_generic
"That’s a good point, I hadn’t thought of that.",contextual_generic
